feature,p_value
1,1.9279847017937518e-126
2,3.7524367269784284e-21
4,3.2525983995033453e-06
5,1.3494352143122994e-96
6,7.70633667840501e-129
7,2.216226693654327e-67
8,1.8032539750189665e-129
9,2.8788599827211863e-21
12,2.5404743370638085e-96
13,7.05361854895949e-135
14,9.386531445666085e-66
15,1.4974939381809937e-185
16,1.2489562984586515e-30
18,6.582718786963032e-52
19,1.0865591387591848e-26
20,3.001007987254869e-10
21,2.2165874862599303e-122
22,0.02956919565018621
23,1.917981273417629e-152
24,0.0
25,0.0
26,5.392445935563712e-214
27,3.764112261971169e-232
28,0.0
29,0.0
30,7.11067304951976e-62
31,3.266456788718015e-70
32,3.4679133907033e-14
33,2.3405403064024734e-17
34,2.2482716731830255e-46
35,7.508551114028573e-70
36,7.135857959217647e-172
37,8.14867352718473e-172
38,0.0
39,0.0
40,0.0
41,0.0
42,3.996216215641748e-218
43,2.0848676178356478e-218
44,3.4389640520442996e-28
45,2.2785887723293434e-53
46,1.8424085153298079e-53
47,2.5804603461173337e-74
48,0.0
49,0.0
50,0.0
51,0.0
52,0.0004222551470848518
53,7.168505311425856e-44
54,9.8436306620802e-06
55,2.7199969889921318e-05
