feature,p_value
gaze_0_x,2.177505825304228e-12
gaze_0_z,3.598881646925328e-17
gaze_1_x,3.226786945186755e-20
gaze_1_z,6.84350663530655e-05
gaze_angle_x,8.879741835830692e-17
pose_Ty,1.2942263139736477e-05
pose_Ry,3.15142151711935e-18
AU01_r,1.46101217180724e-30
AU02_r,9.722964046515385e-28
AU05_r,9.077811927905364e-42
AU06_r,3.3324688060876146e-17
AU07_r,5.596037630996919e-14
AU09_r,2.3049963221840545e-35
AU10_r,5.344644285413655e-17
AU12_r,1.7994705594402282e-42
AU14_r,6.871195707441371e-76
AU15_r,4.184853738632889e-11
AU17_r,9.687647563194145e-209
AU20_r,3.202461695194703e-11
AU23_r,3.0801871853270647e-10
AU26_r,3.2397740136542173e-37
AU45_r,0.00028498012591446494
AU01_c,6.349036441168411e-138
AU02_c,6.664349126812872e-70
AU05_c,0.0003405235065145157
AU06_c,6.655352296240878e-29
AU07_c,2.7377427588699638e-06
AU09_c,0.0008745731874184727
AU10_c,2.6622525942038683e-77
AU12_c,9.684013572547812e-65
AU14_c,2.7489029314492477e-80
AU15_c,1.9965108713254723e-63
AU17_c,4.043206392543095e-153
AU20_c,1.538558338733844e-12
AU25_c,1.9143242729314763e-05
AU26_c,6.32226928617542e-58
AU28_c,0.0019205407133187373
AU45_c,0.0052379417457388095
